From,Destination,"Jet Ski / Snow
mobile","Jet Ski
w/trailer","Large
Motorcycle","1 Regular
Car","Oversize
Car",Motorcycle,ATV
CHICAGO,KLAIPEDA,550,750,475,900,1300,400,475
HOUSTON,KLAIPEDA,500,650,450,800,1450,375,450
LOS ANGELES,KLAIPEDA,825,1075,650,1275,1750,550,650
MIAMI,KLAIPEDA,475,600,425,800,1100,350,425
NEWARK,KLAIPEDA,475,625,425,750,1050,350,425
NORFOLK,KLAIPEDA,475,600,425,725,1025,350,425
PORT OF HONOLULU,KLAIPEDA,1800,2050,1425,2450,3150,1175,1425
SAVANNAH,KLAIPEDA,475,600,425,725,1025,350,425
SEATTLE,KLAIPEDA,1075,1475,875,1675,2250,775,875
TORONTO,KLAIPEDA,575,775,475,950,1300,775,525
