Auction,From,State,Loc,,Country,To,Car,Motorcycle,Pickup,SUV,Travel trailer,
Copart,TRENTON - New Jersey - Copart,New Jersey,NJ - Trenton ,NJ,USA,Newark,150,100,,,,Trenton 
Copart,ALBUQUERQUE - New Mexico - Copart,New Mexico,NM - Albuquerque ,NM,USA,Houston,600,400,,,,Albuquerque 
Copart,ALBANY - New York - Copart,New York,NY - Albany ,NY,USA,Newark,275,225,,,,Albany 
Copart,Buffalo - New York - Copart,New York,NY - Buffalo ,NY,USA,Newark,500,375,,,,Buffalo 
Copart,LONG ISLAND - New York - Copart,New York,NY - Long Island ,NY,USA,Newark,250,190,,,,Long Island 
Copart,NEWBURGH - New York - Copart,New York,NY - Newburgh ,NY,USA,Newark,225,175,,,,Newburgh 
Copart,ROCHESTER - New York - Copart,New York,NY - Rochester ,NY,USA,Newark,450,350,,,,Rochester 
Copart,SYRACUSE - New York - Copart,New York,NY - Syracuse ,NY,USA,Newark,325,275,,,,Syracuse 
Copart,ST. JOHN'S - Newfoundland and Lab - Copart,Newfoundland and Labrador,NL - St. John'S ,NL,Canada,Toronto,1800,1650,1950,1800,,St. John'S 
Copart,CHINA GROVE - North Carolina - Copart,North Carolina,NC - China Grove ,NC,USA,Norfolk,300,250,,,,China Grove 
Copart,CONCORD - North Carolina - Copart,North Carolina,NC - Concord ,NC,USA,Norfolk,300,250,,,,Concord 
Copart,GASTONIA - North Carolina - Copart,North Carolina,NC - Gastonia ,NC,USA,Norfolk,325,275,,,,Gastonia 
Copart,LUMBERTON - North Carolina - Copart,North Carolina,NC - Lumberton ,NC,USA,Norfolk,300,250,,,,Lumberton 
Copart,MEBANE - North Carolina - Copart,North Carolina,NC - Mebane ,NC,USA,Norfolk,300,250,,,,Mebane 
Copart,MOCKSVILLE - North Carolina - Copart,North Carolina,NC - Mocksville ,NC,USA,Norfolk,300,250,,,,Mocksville 
Copart,RALEIGH - North Carolina - Copart,North Carolina,NC - Raleigh ,NC,USA,Norfolk,300,250,,,,Raleigh 
Copart,BISMARCK - North Dakota - Copart,North Dakota,ND - Bismarck ,ND,USA,Chicago,Call for price,Call for price,,,,Bismarck 
Copart,HALIFAX - Nova Scotia - Copart,Nova Scotia,NS - Halifax ,NS,Canada,Toronto,1100,1000,1250,1100,,Halifax 
Copart,CLEVELAND EAST - Ohio - Copart,Ohio,OH - Cleveland East ,OH,USA,Norfolk,550,400,,,,Cleveland East 
Copart,CLEVELAND WEST - Ohio - Copart,Ohio,OH - Cleveland West ,OH,USA,Norfolk,550,400,,,,Cleveland West 
Copart,COLUMBUS - Ohio - Copart,Ohio,OH - Columbus ,OH,USA,Norfolk,550,400,,,,Columbus 
Copart,DAYTON - Ohio - Copart,Ohio,OH - Dayton ,OH,USA,Norfolk,550,400,,,,Dayton 
Copart,OKLAHOMA CITY - Oklahoma - Copart,Oklahoma,OK - Oklahoma City ,OK,USA,Houston,400,300,,,,Oklahoma City 
Copart,TULSA - Oklahoma - Copart,Oklahoma,OK - Tulsa ,OK,USA,Houston,475,375,,,,Tulsa 
Copart,LONDON - Ontario - Copart,Ontario,ON - London ,ON,Canada,Toronto,250,250,400,250,,London 
Copart,OTTAWA - Ontario - Copart,Ontario,ON - Ottawa ,ON,Canada,Toronto,450,425,600,450,,Ottawa 
Copart,TORONTO - Ontario - Copart,Ontario,ON - Toronto ,ON,Canada,Toronto,200,175,350,200,,Toronto 
Copart,EUGENE - Oregon - Copart,Oregon,OR - Eugene ,OR,USA,Seattle,375,300,,,,Eugene 
Copart,PORTLAND NORTH - Oregon - Copart,Oregon,OR - Portland North ,OR,USA,Seattle,250,250,,,,Portland North 
Copart,PORTLAND SOUTH - Oregon - Copart,Oregon,OR - Portland South ,OR,USA,Seattle,300,275,,,,Portland South 
Copart,ALTOONA - Pennsylvania - Copart,Pennsylvania,PA - Altoona ,PA,USA,Newark,450,325,,,,Altoona 
Copart,CHAMBERSBURG - Pennsylvania - Copart,Pennsylvania,PA - Chambersburg ,PA,USA,Newark,350,300,,,,Chambersburg 
Copart,HARRISBURG - Pennsylvania - Copart,Pennsylvania,PA - Harrisburg ,PA,USA,Newark,275,225,,,,Harrisburg 
Copart,PHILADELPHIA - Pennsylvania - Copart,Pennsylvania,PA - Philadelphia ,PA,USA,Newark,200,125,,,,Philadelphia 
Copart,PHILADELPHIA EAST-SUBLOT - Pennsylvania - Copart,Pennsylvania,PA - Philadelphia East,PA,USA,Newark,200,125,,,,Philadelphia East
Copart,PITTSBURGH EAST - Pennsylvania - Copart,Pennsylvania,PA - Pittsburgh East ,PA,USA,Newark,400,300,,,,Pittsburgh East 
Copart,PITTSBURGH NORTH - Pennsylvania - Copart,Pennsylvania,PA - Pittsburgh North ,PA,USA,Newark,450,325,,,,Pittsburgh North 
Copart,PITTSBURGH SOUTH - Pennsylvania - Copart,Pennsylvania,PA - Pittsburgh South ,PA,USA,Newark,450,325,,,,Pittsburgh South 
Copart,PITTSBURGH WEST - Pennsylvania - Copart,Pennsylvania,PA - Pittsburgh West ,PA,USA,Newark,450,325,,,,Pittsburgh West 
Copart,SCRANTON - Pennsylvania - Copart,Pennsylvania,PA - Scranton ,PA,USA,Newark,250,175,,,,Scranton 
Copart,YORK HAVEN - Pennsylvania - Copart,Pennsylvania,PA - York Haven ,PA,USA,Newark,275,225,,,,York Haven 
Copart,MONTREAL - Quebec - Copart,Quebec,QC - Montreal ,QC,Canada,Toronto,475,400,575,475,,Montreal 
Copart,EXETER - Rhode Island - Copart,Rhode Island,RI - Exeter ,RI,USA,Newark,350,250,,,,Exeter 
Copart,N.Boston-ROWLEY Sublot - Massachusetts - Copart,Massachusetts,MA - N.Boston,MA,USA,Newark,450,,,,,N.Boston
Copart,NORTH CHARLESTON - South Carolina - Copart,South Carolina,SC - North Charleston ,SC,USA,Savannah,275,200,,,,North Charleston 
Copart,SC - COLUMBIA - South Carolina - Copart,South Carolina,SC - Sc ,SC,USA,Savannah,275,200,,,,Sc 
Copart,SPARTANBURG - South Carolina - Copart,South Carolina,SC - Spartanburg ,SC,USA,Savannah,300,250,,,,Spartanburg 
Copart,RAPID CITY - South Dakota - Copart,South Dakota,SD - Rapid City ,SD,USA,Chicago,Call for price,Call for price,,,,Rapid City 
Copart,KNOXVILLE - Tennessee - Copart,Tennessee,TN - Knoxville ,TN,USA,Savannah,400,350,,,,Knoxville 
Copart,MEMPHIS - Tennessee - Copart,Tennessee,TN - Memphis ,TN,USA,Savannah,500,425,,,,Memphis 
Copart,NASHVILLE - Tennessee - Copart,Tennessee,TN - Nashville ,TN,USA,Savannah,400,350,,,,Nashville 
Copart,ABILENE - Texas - Copart,Texas,TX - Abilene ,TX,USA,Houston,350,300,,,,Abilene 
Copart,AMARILLO - Texas - Copart,Texas,TX - Amarillo ,TX,USA,Houston,525,375,,,,Amarillo 
Copart,ANDREWS - Texas - Copart,Texas,TX - Andrews ,TX,USA,Houston,425,350,,,,Andrews 
Copart,AUSTIN - Texas - Copart,Texas,TX - Austin ,TX,USA,Houston,250,175,,,,Austin 
Copart,CORPUS CHRISTI - Texas - Copart,Texas,TX - Corpus Christi ,TX,USA,Houston,275,225,,,,Corpus Christi 
Copart,CRASHEDTOYS DALLAS - Texas - Copart,Texas,TX - Crashedtoys Dallas ,TX,USA,Houston,275,185,,,,Crashedtoys Dallas 
Copart,DALLAS - Texas - Copart,Texas,TX - Dallas ,TX,USA,Houston,275,185,,,,Dallas 
Copart,DALLAS SOUTH - Texas - Copart,Texas,TX - Dallas South ,TX,USA,Houston,275,185,,,,Dallas South 
Copart,EL PASO - Texas - Copart,Texas,TX - El Paso ,TX,USA,Houston,425,375,,,,El Paso 
Copart,FT. WORTH - Texas - Copart,Texas,TX - Ft. Worth ,TX,USA,Houston,275,185,,,,Ft. Worth 
Copart,HOUSTON - Texas - Copart,Texas,TX - Houston ,TX,USA,Houston,180,100,,,,Houston 
Copart,HOUSTON EAST - Texas - Copart,Texas,TX - Houston East ,TX,USA,Houston,180,100,,,,Houston East 
Copart,LONGVIEW - Texas - Copart,Texas,TX - Longview ,TX,USA,Houston,275,200,,,,Longview 
Copart,LUFKIN - Texas - Copart,Texas,TX - Lufkin ,TX,USA,Houston,275,200,,,,Lufkin 
Copart,MCALLEN - Texas - Copart,Texas,TX - Mcallen ,TX,USA,Houston,350,285,,,,Mcallen 
Copart,SAN ANTONIO - Texas - Copart,Texas,TX - San Antonio ,TX,USA,Houston,300,200,,,,San Antonio 
Copart,WACO - Texas - Copart,Texas,TX - Waco ,TX,USA,Houston,325,250,,,,Waco 
Copart,OGDEN - Utah - Copart,Utah,UT - Ogden ,UT,USA,Los Angeles,550,500,,,,Ogden 
Copart,SALT LAKE CITY - Utah - Copart,Utah,UT - Salt Lake City ,UT,USA,Los Angeles,650,550,,,,Salt Lake City 
Copart,SALT LAKE CITY NORTH - Utah - Copart,Utah,UT - Salt Lake City North ,UT,USA,Los Angeles,550,500,,,,Salt Lake City North 
Copart,DANVILLE - Virginia - Copart,Virginia,VA - Danville ,VA,USA,Norfolk,300,250,,,,Danville 
Copart,FREDERICKSBURG - Virginia - Copart,Virginia,VA - Fredericksburg ,VA,USA,Norfolk,250,200,,,,Fredericksburg 
Copart,HAMPTON - Virginia - Copart,Virginia,VA - Hampton ,VA,USA,Norfolk,150,150,,,,Hampton 
Copart,RICHMOND - Virginia - Copart,Virginia,VA - Richmond ,VA,USA,Norfolk,175,175,,,,Richmond 
Copart,RICHMOND EAST - Virginia - Copart,Virginia,VA - Richmond East ,VA,USA,Norfolk,175,175,,,,Richmond East 
Copart,GRAHAM - Washington - Copart,Washington,WA - Graham ,WA,USA,Seattle,150,150,,,,Graham 
Copart,NORTH SEATTLE - Washington - Copart,Washington,WA - North Seattle ,WA,USA,Seattle,200,200,,,,North Seattle 
Copart,PASCO - Washington - Copart,Washington,WA - Pasco ,WA,USA,Seattle,350,275,,,,Pasco 
Copart,SPOKANE - Washington - Copart,Washington,WA - Spokane ,WA,USA,Seattle,350,275,,,,Spokane 
Copart,CHARLESTON - West Virginia - Copart,West Virginia,VW - Charleston ,VW,USA,Norfolk,625,500,,,,Charleston 
Copart,APPLETON - Wisconsin - Copart,Wisconsin,WI - Appleton ,WI,USA,Chicago,325,275,,,,Appleton 
Copart,MADISON - Wisconsin - Copart,Wisconsin,WI - Madison ,WI,USA,Chicago,300,250,,,,Madison 
Copart,MADISON SOUTH - Wisconsin - Copart,Wisconsin,WI - Madison South ,WI,USA,Chicago,300,250,,,,Madison South 
Copart,MILWAUKEE - Wisconsin - Copart,Wisconsin,WI - Milwaukee ,WI,USA,Chicago,225,225,,,,Milwaukee 
Copart,MILWAUKEE NORTH - Wisconsin - Copart,Wisconsin,WI - Milwaukee North ,WI,USA,Chicago,225,225,,,,Milwaukee North 
Copart,MILWAUKEE SOUTH - Wisconsin - Copart,Wisconsin,WI - Milwaukee South ,WI,USA,Chicago,225,225,,,,Milwaukee South 
Copart,CASPER - Wyoming - Copart,Wyoming,WV - Casper ,WV,USA,Chicago,Call for price,Call for price,,,,Casper 
Dyer Auto Auction,Dyer Auto Auction - Indiana - Dyer Auto Auction,Indiana,IN - Dyer Auto Auction ,IN,USA,Chicago,180,180,,,,Dyer Auto Auction 
IAAI,BIRMINGHAM - Alabama - IAAI,Alabama,AL - Birmingham ,AL,USA,Savannah,375,325,,,,Birmingham 
IAAI,DOTHAN - Alabama - IAAI,Alabama,AL - Dothan ,AL,USA,Savannah,375,325,,,,Dothan 
IAAI,HUNTSVILLE - Alabama - IAAI,Alabama,AL - Huntsville ,AL,USA,Savannah,450,400,,,,Huntsville 
IAAI,ANCHORAGE - Alaska - IAAI,Alaska,AK - Anchorage ,AK,USA,Anchorage,Call for price,,,,,Anchorage 
IAAI,PHOENIX - Arizona - IAAI,Arizona,AZ - Phoenix ,AZ,USA,Los Angeles,350,300,,,,Phoenix 
IAAI,TUCSON - Arizona - IAAI,Arizona,AZ - Tucson ,AZ,USA,Los Angeles,400,350,,,,Tucson 
IAAI,FAYETTEVILLE - Arkansas - IAAI,Arkansas,AR - Fayetteville ,AR,USA,Houston,475,375,,,,Fayetteville 
IAAI,LITTLE ROCK - Arkansas - IAAI,Arkansas,AR - Little Rock ,AR,USA,Houston,450,350,,,,Little Rock 
IAAI,ACE - PERRIS 2 - California - IAAI,California,CA - Ace ,CA,USA,Los Angeles,275,275,,,,Ace 
IAAI,ANAHEIM - California - IAAI,California,CA - Anaheim ,CA,USA,Los Angeles,200,200,,,,Anaheim 
IAAI,COLTON - California - IAAI,California,CA - Colton ,CA,USA,Los Angeles,200,200,,,,Colton 
IAAI,EAST BAY - California - IAAI,California,CA - East Bay ,CA,USA,Los Angeles,400,300,,,,East Bay 
IAAI,FONTANA - California - IAAI,California,CA - Fontana ,CA,USA,Los Angeles,200,200,,,,Fontana 
IAAI,FREMONT - California - IAAI,California,CA - Fremont ,CA,USA,Los Angeles,400,300,,400,,Fremont 
IAAI,FRESNO - California - IAAI,California,CA - Fresno ,CA,USA,Los Angeles,375,300,,,,Fresno 
IAAI,HIGH DESERT - California - IAAI,California,CA - High Desert ,CA,USA,Los Angeles,300,250,,,,High Desert 
IAAI,LOS ANGELES - California - IAAI,California,CA - Los Angeles ,CA,USA,Los Angeles,160,160,,,,Los Angeles 
IAAI,Los Angeles South - California - IAAI,California,CA - Los Angeles South ,CA,USA,Los Angeles,150,150,,,,Los Angeles South 
IAAI,NORTH HOLLYWOOD - California - IAAI,California,CA - North Hollywood ,CA,USA,Los Angeles,200,200,,,,North Hollywood 
IAAI,SACRAMENTO - California - IAAI,California,CA - Sacramento ,CA,USA,Los Angeles,400,300,,,,Sacramento 
IAAI,SAN BERNARDINO - California - IAAI,California,CA - San Bernardino ,CA,USA,Los Angeles,250,250,,,,San Bernardino 
IAAI,SAN DIEGO - California - IAAI,California,CA - San Diego ,CA,USA,Los Angeles,230,150,,,,San Diego 
IAAI,ACE - Carson - California - IAAI,California,CA - Ace ,CA,USA,Los Angeles,160,160,,,,Ace 
IAAI,Colorado Springs - Colorado - IAAI,Colorado,CO - Colorado Springs ,CO,USA,Chicago,650,500,,,,Colorado Springs 
IAAI,DENVER - Colorado - IAAI,Colorado,CO - Denver ,CO,USA,Chicago,650,500,,,,Denver 
IAAI,DENVER EAST - Colorado - IAAI,Colorado,CO - Denver East ,CO,USA,Chicago,650,500,,,,Denver East 
IAAI,WESTERN COLORADO - Colorado - IAAI,Colorado,CO - Western Colorado ,CO,USA,Chicago,Call for price,Call for price,,,,Western Colorado 
IAAI,HARTFORD - Connecticut - IAAI,Connecticut,CT - Hartford ,CT,USA,Newark,225,175,,,,Hartford 
IAAI,NEW CASTLE - Delaware - IAAI,Delaware,DE - New Castle ,DE,USA,Newark,250,225,,,,New Castle 
IAAI,CLEARWATER - Florida - IAAI,Florida,FL - Clearwater ,FL,USA,Miami,250,225,,,,Clearwater 
IAAI,FORT MYERS - Florida - IAAI,Florida,FL - Fort Myers ,FL,USA,Miami,250,225,,,,Fort Myers 
IAAI,FORT PIERCE - Florida - IAAI,Florida,FL - Fort Pierce ,FL,USA,Miami,200,180,,,,Fort Pierce 
IAAI,JACKSONVILLE - Florida - IAAI,Florida,FL - Jacksonville ,FL,USA,Savannah,225,175,,,,Jacksonville 
IAAI,MIAMI - Florida - IAAI,Florida,FL - Miami ,FL,USA,Miami,125,125,,,,Miami 
IAAI,ORLANDO - Florida - IAAI,Florida,FL - Orlando ,FL,USA,Miami,250,225,,,,Orlando 
IAAI,PENSACOLA - Florida - IAAI,Florida,FL - Pensacola ,FL,USA,Miami,400,375,,,,Pensacola 
IAAI,TAMPA - Florida - IAAI,Florida,FL - Tampa ,FL,USA,Miami,250,225,,,,Tampa 
IAAI,Tampa North - Florida - IAAI,Florida,FL - Tampa North ,FL,USA,Miami,275,250,,,,Tampa North 
IAAI,WEST PALM BEACH - Florida - IAAI,Florida,FL - West Palm Beach ,FL,USA,Miami,180,180,,,,West Palm Beach 
IAAI,ATLANTA - Georgia - IAAI,Georgia,GA - Atlanta ,GA,USA,Savannah,300,250,,,,Atlanta 
IAAI,ATLANTA EAST - Georgia - IAAI,Georgia,GA - Atlanta East ,GA,USA,Savannah,325,275,,,,Atlanta East 
IAAI,ATLANTA NORTH - Georgia - IAAI,Georgia,GA - Atlanta North ,GA,USA,Savannah,300,250,,,,Atlanta North 
IAAI,ATLANTA SOUTH - Georgia - IAAI,Georgia,GA - Atlanta South ,GA,USA,Savannah,300,250,,,,Atlanta South 
IAAI,MACON - Georgia - IAAI,Georgia,GA - Macon ,GA,USA,Savannah,275,200,,,,Macon 
IAAI,SAVANNAH - Georgia - IAAI,Georgia,GA - Savannah ,GA,USA,Savannah,125,125,,,,Savannah 
IAAI,TIFTON - Georgia - IAAI,Georgia,GA - Tifton ,GA,USA,Savannah,275,225,,,,Tifton 
IAAI,PORTLAND - GORHAM - Maine - IAAI,Oregon,OR - Portland ,OR,USA,Newark,475,375,,,,Portland 
IAAI,D&D TOWING INC MAUI - Hawaii - IAAI,Hawaii,HA - D&D Towing Inc Maui ,HA,USA,Los Angeles,2300,,,,,D&D Towing Inc Maui 
IAAI,DC TOWING HILO - Hawaii - IAAI,Hawaii,HA - Dc Towing Hilo ,HA,USA,Los Angeles,2000,,,,,Dc Towing Hilo 
IAAI,HONOLULU - Hawaii - IAAI,Hawaii,HA - Honolulu ,HA,USA,Honolulu,120,,,,,Honolulu 
IAAI,LEE'S TOWING KAUAI - Hawaii - IAAI,Hawaii,HA - Lee'S Towing Kauai ,HA,USA,Los Angeles,2750,,3150,2950,,Lee'S Towing Kauai 
IAAI,LEE'S TOWING KAUAI - Hawaii - IAAI,Hawaii,HA - Lee'S Towing Kauai ,HA,USA,Honolulu,1750,,2050,1750,,Lee'S Towing Kauai 
IAAI,WEST HAWAII TOWING & REPAIR INC KONA - Hawaii - IAAI,Hawaii,HA - West Hawaii Towing & Repair Inc Kona ,HA,USA,Los Angeles,2200,,,,,West Hawaii Towing & Repair Inc Kona 
IAAI,BOISE - Idaho - IAAI,Idaho,ID - Boise ,ID,USA,Seattle,450,450,,,,Boise 
IAAI,CHICAGO-NORTH - Illinois - IAAI,Illinois,IL - Chicago,IL,USA,Chicago,180,180,,,,Chicago
IAAI,CHICAGO-SOUTH - Illinois - IAAI,Illinois,IL - Chicago,IL,USA,Chicago,180,180,,,,Chicago
IAAI,LINCOLN - Illinois - IAAI,Illinois,IL - Lincoln ,IL,USA,Chicago,300,250,,,,Lincoln 
IAAI,ST. LOUIS - Illinois - IAAI,Illinois,IL - St. Louis ,IL,USA,Savannah,575,425,,,,St. Louis 
IAAI,Fort Wayne - Indiana - IAAI,Indiana,IN - Fort Wayne ,IN,USA,Chicago,300,250,,,,Fort Wayne 
IAAI,INDIANAPOLIS - Indiana - IAAI,Indiana,IN - Indianapolis ,IN,USA,Chicago,300,250,,,,Indianapolis 
IAAI,Indianapolis South - Indiana - IAAI,Indiana,IN - Indianapolis South ,IN,USA,Chicago,425,325,,,,Indianapolis South 
IAAI,SOUTH BEND - Indiana - IAAI,Indiana,IN - South Bend ,IN,USA,Chicago,250,200,,,,South Bend 
IAAI,DAVENPORT - Iowa - IAAI,Iowa,IA - Davenport ,IA,USA,Chicago,325,275,,,,Davenport 
IAAI,DES MOINES - Iowa - IAAI,Iowa,IA - Des Moines ,IA,USA,Chicago,400,300,,,,Des Moines 
IAAI,KANSAS CITY - Kansas - IAAI,Kansas,KS - Kansas City ,KS,USA,Savannah,625,450,,,,Kansas City 
IAAI,WICHITA - Kansas - IAAI,Kansas,KS - Wichita ,KS,USA,Houston,550,450,,,,Wichita 
IAAI,ASHLAND - Kentucky - IAAI,Kentucky,KY - Ashland ,KY,USA,Chicago,Call for price,Call for price,,,,Ashland 
IAAI,BOWLING GREEN - Kentucky - IAAI,Kentucky,KY - Bowling Green ,KY,USA,Chicago,Call for price,Call for price,,,,Bowling Green 
IAAI,LOUISVILLE - Kentucky - IAAI,Kentucky,KY - Louisville ,KY,USA,Chicago,425,325,,,,Louisville 
IAAI,LOUISVILLE NORTH - Kentucky - IAAI,Kentucky,KY - Louisville North ,KY,USA,Chicago,425,325,,,,Louisville North 
IAAI,PADUCAH - Kentucky - IAAI,Kentucky,KY - Paducah ,KY,USA,Chicago,Call for price,Call for price,,,,Paducah 
IAAI,BATON ROUGE - Louisiana - IAAI,Louisiana,LA - Baton Rouge ,LA,USA,Savannah,475,375,,,,Baton Rouge 
IAAI,LAFAYETTE - Louisiana - IAAI,Louisiana,LA - Lafayette ,LA,USA,Savannah,400,375,,,,Lafayette 
IAAI,NEW ORLEANS - Louisiana - IAAI,Louisiana,LA - New Orleans ,LA,USA,Savannah,425,375,,,,New Orleans 
IAAI,NEW ORLEANS EAST - Louisiana - IAAI,Louisiana,LA - New Orleans East ,LA,USA,Savannah,425,375,,,,New Orleans East 
IAAI,New Orleans and Louisiana Flood - Louisiana - IAAI,Louisiana,LA - New Orleans And Louisiana Flood ,LA,USA,Savannah,425,375,,,,New Orleans And Louisiana Flood 
IAAI,SHREVEPORT - Louisiana - IAAI,Louisiana,LA - Shreveport ,LA,USA,Houston,315,225,,,,Shreveport 
IAAI,BALTIMORE - Maryland - IAAI,Maryland,MD - Baltimore ,MD,USA,Norfolk,350,250,,,,Baltimore 
IAAI,DUNDALK - Maryland - IAAI,Maryland,MD - Dundalk ,MD,USA,Norfolk,300,250,,,,Dundalk 
IAAI,Elkton - Maryland - IAAI,Maryland,MD - Elkton ,MD,USA,Norfolk,350,300,,,,Elkton 
IAAI,LAUREL - Maryland - IAAI,Maryland,MD - Laurel ,MD,USA,Norfolk,300,250,,,,Laurel 
IAAI,METRO DC - Maryland - IAAI,Maryland,MD - Metro Dc ,MD,USA,Norfolk,300,250,,,,Metro Dc 
IAAI,ROSEDALE - Maryland - IAAI,Maryland,MD - Rosedale ,MD,USA,Norfolk,350,325,,,,Rosedale 
IAAI,BOSTON - SHIRLEY - Massachusetts - IAAI,Massachusetts,MA - Boston ,MA,USA,Newark,375,250,,,,Boston 
IAAI,TAUNTON - Massachusetts - IAAI,Massachusetts,MA - Taunton ,MA,USA,Newark,375,250,,,,Taunton 
IAAI,Templeton - Massachusetts - IAAI,Massachusetts,MA - Templeton ,MA,USA,Newark,375,250,,,,Templeton 
IAAI,DETROIT - Michigan - IAAI,Michigan,MI - Detroit ,MI,USA,Chicago,400,300,,,,Detroit 
IAAI,FLINT - Michigan - IAAI,Michigan,MI - Flint ,MI,USA,Chicago,450,325,,,,Flint 
IAAI,GRAND RAPIDS - Michigan - IAAI,Michigan,MI - Grand Rapids ,MI,USA,Chicago,400,300,,,,Grand Rapids 
IAAI,MINNEAPOLIS/ST. PAUL - Minnesota - IAAI,Minnesota,MN - Minneapolis/St. Paul ,MN,USA,Chicago,450,350,,,,Minneapolis/St. Paul 
IAAI,Minneapolis South - Minnesota - IAAI,Minnesota,MN - Minneapolis South ,MN,USA,Chicago,450,350,,,,Minneapolis South 
IAAI,GRENADA - Mississippi - IAAI,Mississippi,MS - Grenada ,MS,USA,Savannah,425,375,,,,Grenada 
IAAI,GULF COAST - Mississippi - IAAI,Mississippi,MS - Gulf Coast ,MS,USA,Savannah,400,350,,,,Gulf Coast 
IAAI,JACKSON - Mississippi - IAAI,Mississippi,MS - Jackson ,MS,USA,Savannah,425,375,,,,Jackson 
IAAI,Kansas City East - Missouri - IAAI,Missouri,MO - Kansas City East ,MO,USA,Savannah,625,450,,,,Kansas City East 
IAAI,SPRINGFIELD - Missouri - IAAI,Missouri,MO - Springfield ,MO,USA,Savannah,625,425,,,,Springfield 
IAAI,BILLINGS - Montana - IAAI,Montana,MT - Billings ,MT,USA,Seattle,850,850,,,,Billings 
IAAI,MISSOULA - Montana - IAAI,Montana,MT - Missoula ,MT,USA,Seattle,600,600,,,,Missoula 
IAAI,OMAHA - Nebraska - IAAI,Nebraska,NE - Omaha ,NE,USA,Chicago,450,350,,,,Omaha 
IAAI,LAS VEGAS - Nevada - IAAI,Nevada,NV - Las Vegas ,NV,USA,Los Angeles,325,250,,,,Las Vegas 
IAAI,RENO - Nevada - IAAI,Nevada,NV - Reno ,NV,USA,Los Angeles,550,500,,,,Reno 
IAAI,MANCHESTER - New Hampshire - IAAI,New Hampshire,NH - Manchester ,NH,USA,Newark,400,300,,,,Manchester 
IAAI,AVENEL NEW JERSEY - New Jersey - IAAI,New Jersey,NJ - Avenel New Jersey ,NJ,USA,Newark,125,75,,,,Avenel New Jersey 
IAAI,CENTRAL NEW JERSEY - New Jersey - IAAI,New Jersey,NJ - Central New Jersey ,NJ,USA,Newark,150,125,,,,Central New Jersey 
IAAI,Englishtown - New Jersey - IAAI,New Jersey,NJ - Englishtown ,NJ,USA,Newark,150,100,,,,Englishtown 
IAAI,NORTHERN NEW JERSEY - New Jersey - IAAI,New Jersey,NJ - Northern New Jersey ,NJ,USA,Newark,125,75,,,,Northern New Jersey 
IAAI,PORT MURRAY - New Jersey - IAAI,New Jersey,NJ - Port Murray ,NJ,USA,Newark,175,145,,,,Port Murray 
IAAI,SOUTHERN NEW JERSEY - New Jersey - IAAI,New Jersey,NJ - Southern New Jersey ,NJ,USA,Newark,200,165,,,,Southern New Jersey 
IAAI,Sayreville - New Jersey - IAAI,New Jersey,NJ - Sayreville ,NJ,USA,Newark,150,100,,,,Sayreville 
IAAI,ALBUQUERQUE - New Mexico - IAAI,New Mexico,NM - Albuquerque ,NM,USA,Houston,600,400,,,,Albuquerque 
IAAI,ALBANY - New York - IAAI,New York,NY - Albany ,NY,USA,Newark,275,225,,,,Albany 
IAAI,BUFFALO - New York - IAAI,New York,NY - Buffalo ,NY,USA,Newark,500,375,,,,Buffalo 
IAAI,LONG ISLAND - New York - IAAI,New York,NY - Long Island ,NY,USA,Newark,250,190,,,,Long Island 
IAAI,NEWBURGH - New York - IAAI,New York,NY - Newburgh ,NY,USA,Newark,225,175,,,,Newburgh 
IAAI,ROCHESTER - New York - IAAI,New York,NY - Rochester ,NY,USA,Newark,450,350,,,,Rochester 
IAAI,SYRACUSE - New York - IAAI,New York,NY - Syracuse ,NY,USA,Newark,325,275,,,,Syracuse 
IAAI,HOUSTON-NORTH - Texas - IAAI,Texas,TX - Houston,TX,USA,Houston,165,100,,,,Houston
IAAI,MIAMI-NORTH - Florida - IAAI,Florida,FL - Miami,FL,USA,Miami,150,150,,,,Miami
IAAI,ORLANDO-NORTH - Florida - IAAI,Florida,FL - Orlando,FL,USA,Miami,250,225,,,,Orlando
IAAI,PITTSBURGH-NORTH - Pennsylvania - IAAI,Pennsylvania,PA - Pittsburgh,PA,USA,Newark,450,325,,,,Pittsburgh
IAAI,ASHEVILLE - North Carolina - IAAI,North Carolina,NC - Asheville ,NC,USA,Norfolk,400,350,,,,Asheville 
IAAI,CHARLOTTE - North Carolina - IAAI,North Carolina,NC - Charlotte ,NC,USA,Norfolk,300,250,,,,Charlotte 
IAAI,CONCORD - North Carolina - IAAI,North Carolina,NC - Concord ,NC,USA,Norfolk,300,250,,,,Concord 
IAAI,GREENSBORO - North Carolina - IAAI,North Carolina,NC - Greensboro ,NC,USA,Norfolk,300,250,,,,Greensboro 
IAAI,HIGH POINT - North Carolina - IAAI,North Carolina,NC - High Point ,NC,USA,Norfolk,300,250,,,,High Point 
IAAI,RALEIGH - North Carolina - IAAI,North Carolina,NC - Raleigh ,NC,USA,Norfolk,300,250,,,,Raleigh 
IAAI,WILMINGTON - North Carolina - IAAI,North Carolina,NC - Wilmington ,NC,USA,Norfolk,375,325,,,,Wilmington 
IAAI,FARGO - North Dakota - IAAI,North Dakota,ND - Fargo ,ND,USA,Chicago,650,550,,,,Fargo 
IAAI,AKRON-CANTON - Ohio - IAAI,Ohio,OH - Akron,OH,USA,Norfolk,550,400,,,,Akron
